Document_ID,clean_text,Sentiment
10,two imprisoned men tim robbins morgan freeman bond number year finding solace eventual redemption act common decencyis greatest film time imdb would believe despite box office flop barely recouped budget film received multiple award nomination outstanding review critic acting story realism since successful cable television vhs dvd blurayand deserves praise seems growing year twenty year old film aged day instead seems getting better tim robbins best role fine performance always wonderful morgan freeman,Positive
11,based novella stephen king better even green mile go show dont need supernatural element prison story setting enough carry film shawshank often show best film time various movie list including imdb whilst dont necessarily agree good film indeed near flawless factevery technical element film spoton direction music editing acting morgan freeman delivers best ever performance whilst tim robbins show u great character actor even better genre fan like seeing acting favourite like clancy brown william sadler brian libby james whitmore appearing film together playing stock good bad guy role every actor great script stick closely king writing nighon perfect emotion thrill drama triumph human spirit present movie one greatest prison flick ever,Positive
12,shawshank redemption great performance extremely well written script story leading deeply emotional climax one best drama time,Positive
13,there reason rated reason watch movie every time see tv even already half way captivating brilliant full heart one best film ever made,Positive
14,well guess im little late party far writing review picture ive seen couple time became regular contributor imdb first discovered site year ago godfather number spot since film traded place first second shawshank maintaining top spot time puzzled bit watched tonight ive come away picture new found appreciation favorite movie tend story underdog way shape form personal top ten list includes title like waterfront kill mockingbird one flew cuckoo nest may reconsider list infrequent exercise one dont mind every situation warrantoverall film darn near perfect know pretty cliché state way analyze dialog character directing tone movie picture flow flawlessly even detour side story like brook hatlens release new prisoner tommys introduction late picture every setup every nuance importance eventually converges symbolize andys quest escape personal redemption remember brook feeding jake first time eventually setting free receives pardon andy playing mozart prison yard settling back smile contentment face story transcends one man confinement crime didnt commit focus instead reaction circumstance beyond control paul newman showed u different way react kind condition cool hand luke method self destructive andy dufresne tim robbins never loses ability keep eye prize even take couple decade sobut even story elli boyd redding morgan freeman convict see andy person time inspiration rest prisoner call friend andy come understand even prisoner man live life term keep mind uncluttered thought desperation hopelessness bad convict started believing hope drive man insanei really cant recommend picture highly enough masterful story telling technical execution actor even portraying minor character seemingly born role deliver seamless performance thats virtually unmatched modern film picture hit right note inspiring message discipline perseverance,Positive
15,whenever talk movie friend even refer title rather movie say movie friend know exactly im talking fact main reason friend dont refer title movie great feel worthy enough say name vain still remember first time saw shawshank redemption friend mine went see one budget theater summer none u really knew anything movie heard pretty good real expectation saw final credit rolled light came theater u sat jaw hanging floor turned head towards friend bob said greatest movie ever seen entire life there really way put word every moment movie captivated inspired believe one true thing life hope movie sad uplifting inspiring harsh cold funny right time jawdropping heartwarming time get chill every time watch film film contains greatest ending take place last minute soin movie history come together incredible uplifting also mention music movie nearly flawless well soundtrack must buy music fan bad thing movie fact know never see better movie matter many may see ive seen many movie past year many excellent film however every time walk theater turn friend family member saw say great movie wasnt nearly good know many movie past year thought would really move might one day call favorite time theyve fallen far short shawshank redemption yet see movie please run video store immediately youre guaranteed find employee pick section isnt section tell employee something seriously wrong seen movie go see havent bought copy yet buy one fact buy two put one fireproof safe case emergency want rating give,Positive
16,none usual otherworld creature populate work stephen king found shawshank redemption real world maine prison bizarre rule there whole new reality within wallsin tradition cool hand luke birdman alcatraz come tim robbins banker outside caught wife cheating golf pro country club he convicted putting eight bullet four apiece tried sentenced two consecutive life term shawshank prison like luke bob stroud work rehabilitation rebel prison systemhe may con robbins still knowledge finance pretty soon he made quite invaluable warden rest staff prison time cell block scrounger morgan freeman develop close personal relationship end beat system unique waythere classic prison film made ever since big house dawn talkie two ive already mentioned favorite prison film robert redford brubaker shawshank redemption come pretty close green mile also directed frank darabontdarabont got oscar nomination film morgan freeman best actor shawshank redemption flock oscar nomination couple good performance james whitmore institutionalized con year paroled cant make outside break heart gil bellow play fresh rather likable young con run afoul wardenspeaking bob gunton warden positively chill corruption would go back way james cagney classic mayor hell dudley digges warden boy reformatory find warden sanctimonious corrupt gunton man give bible inmate hoping reading good book improve moral fiber convict time he raking money every way rather special punishment meted robbinsthe shawshank redemption may monster worldly creature normally characterize stephen king story world shawshank prison bizarre enough normal person see wonderfully crafted acted film,Positive
17,shawshank redemption without doubt one brilliant movie ever seen similar green mile many respect better almost two movie shown u stephen king master horror also prose shake soul move heart plot average king great thing novella furthered direction acting toprate almost scarytim robbins play andy dufrane wrongly imprisoned year murder wife story focus andys relationship red redding morgan freeman probably best role attempt escape shawshank bob gunton positively evil frightening warden norton great performance cameo around prominent one gil bellow late billy ally mcbeal tommy fellow inmate andys suffers iron nortonif havent seen movie go rent disappointed positively best movie one top time movie spectacle move mind soul heart,Positive
18,never seen amazing film since saw shawshank redemption shawshank encompasses friendship hardship hope dream great movie move give hope even though circumstance character viewer quite different dont feel far removed character going throughit simple film yet everlasting message frank darabont didnt need put kind outlandish special effect get u love film narration acting movie didnt win seven oscar beyond dont let sway see film let ranking imdbs top list sway let friend recommendation movie sway youset aside little two hour tonight rent movie finally understand everyone talking understand time favorite movie,Positive
19,hollywood usually creating thing entertainment purpose create art create something nature director must approach meticulous manner due delicacy process daunting task requires extremely capable artist undeniable managerial capacity acutely developed awareness element art film prominent music visuals script acting element equally important must succeed independently yet still form harmonious union mixture determines fate artist opus though already well known amongst colleague notable skill writing directing frank darabont emerges feature film directorial debut shawshank redemption proving already master craft darabont managed create one recognizable independent release history hollywood shawshank redemption defines genre defies odds compels emotion brings era artistically influential film back hollywoodthe story begin trial young banker andy dufrense victimized circumstantial evidence resulting conviction murder wife lover quick conviction andy find serving life sentence shawshank prison hope parole exists prison appearance keeping mind free drab wall around ability result gaining respect fellow inmate elli redding elli commonly referred red find gainful use entrepreneurial spirit within drab wall shawshank dealing contraband commodity rare confines prison andys demeanor undeniable sense hope cause red take deeper look world around andy prof red inmate conventional wall shawshank prison convention find home lifestyleby creating film firm foundation meticulously chiseled screenplay paved way film success frank darabont outdoes phenomenal adaptation stephen king equally noteworthy novella rita hayworth shawshank redemption novella king demonstrates break free genre dominates still create marvelous piece modern literature though film mirror novella many way darabont illustrates focused objective improving upon area novella came short resulting one best book film transition everwhile maintaining poetic moving dialogue novella darabont also prof film score generate great deal emotional response audience dialogue employ cunning thomas newman son legendary hollywood composer alfred newman darabont show recognition film need employing newman make gentle piano chord whisper softly viewer part scripted dialogue newman lends individualism tends drive towards unique realm score composition effort shawshank go unnoticed score received oscar nomination unique independent newman score never intrudes concentration distracts filmwith work vast array talented scene designer costume designer composer cinematographer various hollywood artist cast shawshank redemption strong foundation work marvelous cast film dazzle convincing performance witness film tim robbins morgan freeman shine andy red respectively true spectacle acting lie within plethora amazing supporting actor easily disappear role noticeable veteran film star james whitmore portrays elderly brook hatlen brook man incarcerated unmentioned crime long find attached shawshank daily life lead actor show true dedication art focused purpose motivation creating convincing setting never caters anything unbelievablewith aesthetic touch attention cinematic detail beautiful part film lie within thematic material focus human desire abstract concept like hope freedom theme concern thing human spirit undoubtedly yearns seem intricately woven plot easily draw audience story though full hardened criminal heart go men display basic human emotion deliver quotable line film date like great novel film manages succeed greater thing simply entertaining audience darabont tell story masterfully illustrating principle inspiring audience think leaf u poignant film powerful message hope redemption something seekthis film manages redeem hollywood eye people feared long lost dark sea clichés predictability darabont show u artist still work hollywood studio production facility artist show capability produce art real art inspires look deeper aspect life world around shawshank redemption delivers muchneeded breath fresh air anyone realizes capability film prof master craft still live earth still bless u timeless masterpiece never forget,Positive
20,shawshank redemption innocent man tim robbins sent prison murder charge bond another man morgan freeman serving life sentence remember seeing first released theater walking thinking masterpiece apparently others couldnt bothered see since box office result low theater time year reputation film grown write currently imdb certainly wouldnt call greatest film ever made certainly one think insult call prison movie much film friendship hope two thing played major part many movie cant think many film payoff large make film work well director durabont take time telling story take place twenty year another wonderful thing director really make twenty year pas believable manor film jump time feel cheap rushed thats case wonderful screenplay let u get know two main character also supporting character well written really brings magic life performance downright brilliant id argue see greatest ensemble acting right film robbins freeman terrific together really make one memorable friendship movie history way robbins walk talk perfectly done love way freeman say narration walk around didnt care world freeman give another wonderful performance whats really great narration add tell u story james whitmore terrific elderly convict clancy brown bob gunton make excellent villain wont spoil ending anyone final twentyminutes time breathtaking beauty message hope ring louder movie,Positive
21,shawshank redemption best picture story banker andy dufresne tim robbins getting falsely convicted murder sent hellish shawshank prison movie beyond amazing prison andy meet elli boyd red redding morgan freeman imprisoned many year earlier red get andy poster rita hayworth next twenty year andy experience horror one would expect jail beating guard rape inmate never give hopethis movie like carrie shining dolores claiborne green mile heart atlantis go show great author stephen king think horror think spooky horror shawshank redemption different kind personal horror pure genius hope coming year movie recognized masterpiece cant believe oscar,Positive
22,shawshank redemption powerful emotional film ever made dragging emotion deeply connect character different way truly beautiful film one greatest,Positive
23,one favorite movie everthe shawshank redemption modern day classic tell story two inmate become friend find solace year movie take placebased stephen king novelthis movie make u feel different watching film others incredibly realistic filmtim robbins star andy dufresne convicted murder morgan freeman elli boyd red redding fellow inmate close friend dufresne bob gunton warden samuel norton warden shawshank state prison character mixed feeling emotion towards everyone around character sometimes easy like time easy despisethis film easily considered one greatest film time definitely agree factit nominated seven academy award including best picture best actor morgan freeman best adapted screenplay best cinematography best editing best original score best sound didnt win due tough competition film forrest gumpi personally think tim robbins nominated best actor award really gave performance careerbravo brilliant modern day classic,Positive
24,outstanding film dealing prison seen several prisoner many social problem discussed picture earned welldeserved best picture oscar nomination certainly tied winner equally good forrest gumptim robbins morgan freeman etched unforgettable performance prisoner charged murder film show prison life subject dealing prison survival brutality corruption ultimate redemption well shownas corrupt insane warden invoking religion justify action mr gunton give worthy performancethis film rare power james whitmore equally memorable prisoner unable adjust outside parole following year stint show people incarcerated long period need sort readjustment training rejoin society whitmore freedom meant ultimate doompolitics also depicted negative way gritty film memorable viewing experience audience,Positive
25,tim robbins best performance ever compelling heart warming drama innocent manandy dufresbe sent prison learns use intelligence make best prison life meet mentor redmorgan freeman build friendship stronger wall surround andy steady relationship warden keep good eye prison andy full surprise us resourcefulness win friendship fellow prisoner also prison guard andy red hold dream one day enjoying freedom turn friendship dream freedom bond prison could ever take away,Positive
26,could movie perfect movie absolutely stunning many way acting perfect storyline perfect soundtrack perfect emotional drama perfect everything movie perfectwhen movie first came reach expectation many people expected year went one nominated seven academy award available rent everywhere people started appreciating popularity grew eventually many year top imdbs top movie time list hit number one million votesthe story well educated vice president large bank wrongly accused murdering wife lover sentenced spend life large prison new england called shawshank prison year go new home make friend enemy dramatic twist end became one legendary scene movie historyi love movie acting passionate performance increase drama horror life prison soundtrack one main reason behind emotional drama movie many scene movie almost left tear mainly soundtrack background increase emotion cast movie include academy award winner morgan freeman tim robbins also william sadler bob gunton many made movie isoverall defiantly greatest movie ever made passionate acting great storyline plenty emotional drama hope overcomes fear beautifully crafted film strength human spirit,Positive
27,reason became member database finally found movie ranking recognized true greatness movie nary word scene place entire thing every element come together form exquisite story cinema believe one reason movie underappreciated people seen multiple time first viewing story andy dufresne struggle maintain hope despite circumstance however really movie red struggle find meaning purpose final segment movie testifies fact final resolution story come red faced fearful situation brook andy red find different paththe path freedom lit hope andy dufresne,Neutral
28,one best movie world many people join watching impressed might called great story stephen king anyway acting cue say enormous there posturing especially andy dufrense incredible music review still stand wandering everyones lip finale lose movie getting final exhilarating highquality music finding deserves really deserve watched film young age taught magic cinema nice way film one reason hate oscar remain best film year believe wholeheartedly site definitely one best film world,Positive
29,yes spoiler herethis film emotional impact find hard write comment ive read lot previous comment gush eulogise well think overrated cliched got good point make however thing think everyone struggling explain come term film loved loved extent many almost spiritual experience secular nature like loved one devastatingly uplifting thing happen watching filmso im going review im going struggle way explain film took viewing get connect deeply goesmany people world unhappy people world dont want unhappy lot people wish pray hope magic wand wave wash fear loss anger pain see lot people seemingly magical state suffer borrow word another film theyre watching bluebird flying rainbowmany unhappy people learned magic wand doesnt exist theyre destined join bluebird fairytale dont come true one life happily ever theyre going theyre busy dyingin film people quite correctly said fairytale magic wand exist magic wand andy dufrense imitating houdini however film neither prison governor guard plot acting cinematography script direction scoreits red one become institutionally unhappy he trapped prison given idea ever leaving hope know miracle would ever happen couldnt cope he safe unhappiness security keep going hope red say dangerous metaphor certain illness clear know rather large number people suffer large proportion dont understand whats wrong certainly recognise fellow sufferer mercifully untouched illness definitely dont understand whats going theyre busy livingthe miracle film red redeemed world outside prison isnt warm sandy sunny excellent fishing rocky uncertain fairytale dont get far theyd end red left gate prison credit would say lived happily ever film currently think show get living happily ever bit redemption via rocky uncertain ground bagging grocery local store word theyre going cheat tell everythings going alrightthis crucial two half hour u quite content mooch around personal prison see escape route quite different andys mapped screen real way hard upsetting ultimately rewarding high get finding knowing comparable diamorphinethe trouble youre already busy living film wont mean much youll see little clearly busy dying fortunate individual watch film understand rest u going throughso yes film cliched fairytale maybe story isnt realistic second imdb time list bit overrated however could chart film listing number life saved altered improved shawshank redemption would way front number one,Positive
30,reason fine art create story seems fiction use script cast location puzzle becomes part precious memory theme tension moral question meeting morgan freeman tim robbins result dialog truth axis movie wise adaptation bone splendid film film reminds present value root justice beauty original source end expression deep expectation viewer element transforms shawshank redemption experience viewer short film must see,Positive
31,andy dufresne jailed life murder wife lover sent shawshank prison tell fellow inmate innocent fellow inmate red say everybody shawshank innocent red already served ten year guy see want something smuggled prison andy asks two thing small rock hammer rita hayworth soon red provides one rock hammer large poster featuring rita hayworth life shawshank easy guard brutal inmate worse andy survives though thing get better able help meanest guard avoid paying tax inheritance soon acting accountant whole prison helping corrupt warden squirrel away large sum money earned prison labour able use position improve life prisoner beer work party improvement prison library education inmate time andy professes innocence one day spent almost twenty year behind bar young man come shawshank man tell story cellmate previous prison claimed murdered man woman leaving banker husband take blame andy belief may finally get prison way warden let go useful know much wont stop andy thoughthis film based stephen king short story rightfully considered classic scene felt unnecessary start finish story move good pace see good bad inside prison scene brutality also scene joy watching prisoner enjoy simple pleasure cold beer scorching day detail like make film special also joy seeing andy break greatest triumph coming look finally reached breaking point cast great job tim robbins great andy always reliable morgan freeman top form red one great portrayal screen friendship isnt likable character well acted though bob gunton subtly unpleasant hypocritical warden quoting scripture one minute profiteering much worse next clancy brown also great truly unpleasant captain hadley senior guard brutalises inmate suffering inside finale chapter see andys escape revenge make feelgood movie despite weve seen definitely must see film,Positive
32,stephen king novella damn good yarn narrative always engrossing source element andys secret carefully placed without exciting attention delighted event pan dothen darabont adapts damn good yarn becomes something special part adaptation sensitive simplification part casting pitch perfect morgan freeman red always irish redhead read story cant read without seeing morgan freeman think directionthe story unfolds unhurried fashion u unsure andys guilt much movie gradually building sense injustice way power system treat others unfairly secret doesnt come end three quarter mark brings huge emotional kick story allowed make way gentle perfect endthis without doubt one spiritually uplifting film ever seen,Positive
33,life forever changed due movie movie hope redemption friendship show deep growing friendship two prisoner andy red shown growing distinct hardship shawshank prison time pass hope wane flame burn bright andy hope unrelentless nature carry friend redas red long stay prison come end see light end tunnel andy left see way freedom follows itthis film parallel life leaf wondering advice help somebody see light people time tell ill patient wait see dont end like brook always someone help someone care thank andy dufresne hope flame life,Neutral
34,believe film best story ever told film im tell whytim robbins play andy dufresne city banker wrongfully convicted murdering wife lover sent shawshank prison receives double life sentence crime andy form unlikely friendship red morgan freeman man know get thing andy face many trial prison form alliance warden able use banking experience help corrupt official amass personal fortune story unfoldsi impressed every single subplot given great deal respect attention director acting worldclass never seen tim robbins act well since morgan freeman maybe eg seven twist unexpected although film familiar feel wasnt even slightly pretentious cliched original cinematography grand expressive gave real impression sheer magnitude daunting prisonbut one thing make shawshank redemption stand film attention given story film depends story way unravels powerful poignant thoughtprovoking challenging film like andy comment film think might say get busy watching get busy dying take advicethoroughly recommended,Positive
35,touching heart warming film perfect celebration human spirit seen andy dufresne wrongly convicted murdering wife lover find strength change bring hope around shawshank prison inspiring story interwoven soundtrack invokes every emotion haunting chilling stirring beautiful go see movie touch poetry music atmosphere leaf sense victorious satisfaction triumph field dream first movie invoked emotion shawshank redemption even powerful simplicity doesnt pretend clean could called family movie brutal violent time horrifying sickening others however title say redemption story necessarily redemption actual crime might committed redemption way lived life emerges called maginificent piece art movie meant,Neutral
36,superbly played film set bright young new england banker convicted slaying spouse lover sentenced life strict state prison introspective quite andy tim robbins gradually befriends inmate next decade win trust prisoner warden heart still yearns freedom form peculiar friendship red morgan freeman prison fixer experience brutality prison life sadistic head guard clancy brown also mistreated raped however adapts offer financial advice guard selfish governor bob gunton shot year two imprisoned men bond number year finding peace redemption act common help friendship decency proof andys innocence ripped away need service learn quite seems state penitentary provoking susprises last two reel good serious prison movie thrill emotion exciting scene colourblind relationship hardnut camaraderie gang opression violent disavowal homosexual implication prison buff find lot incident relish great spiritual resolution take swallowing unexpected surprise adapted novella rita hayworth shawshank redemption twist upright starring exceptionally bright ability accountancy lead handling finance everyone humblest guard prison bos wonderful spectacle watching timepasser changing bombshell actress history rita hayworth marilyn monroe raquel welch u prison film making solid fare sixty year apart slowness pace second half one well prison standard frank darabonts theatrical debut turn throwback rendition kind literate thoughtprovoking prison drama hollywood used make fugitive chain gang birdman alcatraz escape alcatraz tim robbins play magnificently andy inmate finding solace eventual redemption tim provides usual talent playing ambiguous role notable skill put good use along robbins best screen acting various oscarworthy supporting character special mention morgan freeman good fixer brings ordinary grace could thankless role veteran james withmore crowkeeping librarian sympathetic newcomer inmate gil bellow william sadler mark rolston ruthless guardian clancy brown course egoistic nasty governor excellently played bob gunton contains colorful evocative cinematography roger deakins enjoyable really feeling musical score thomas newman engrossing direction debut darabont avoids boring fleeing prison movie cliche result pleasure discovering firsttime filmmaker evident respect intelligence audience giving sensitive scene brave enough let role detail accumulate without recourse excessively maudlin oversentimentality true masterpiece marvelously acted perfectly paced,Positive
37,character well developped well interpreted actor really feel make whole story even compeling structure builts emotionnaly like darabont breathtaking,Positive
38,deserves ten star beauty lie slow pace genteel wit although may patience slowness whole premise life inside prison cell make better sense told calm emotionbuilding pace otherwise one would never get know tim robbins quiet accountant make appear alternately shy snobbish suicidal time morgan freeman genialbutcynical lifer mention he man know get thing love film doesnt doesnt make issue two lead different race although one could claim make friendship marvelous doesnt pull sensational farout action punch film allmale cast often doesnt freeze character type everyone real everyone flawed james whitmores bird loving veteran bob guntons pretentious icy warden finish really start around film last twenty minute one powerful moving thing ever committed film get either format,Positive
39,heart extraordinary movie brilliant indelible performance morgan freeman red man know get thing guilty man shawshank prison nominated academy best actor didnt win tom hank forrest gump freeman beautifully slightly underplay part eternal boredom cynicism lifer come yet see much alive warmth life man despite confinement someday morgan freeman going win academy award belated recognition performance think little subtle academy member fully appreciate timebut freeman alone tim robbins play hero story banker andy dufresne falsely convicted murdering wife lover robbins unique quality actor lends ever slightly bemused irony character play though part amused believe best performance career might compared work player another excellent movie mystic river oscar best supporting actorit said every good story need villain biblequoting biblethumping massively hypocritical sadistic warden samuel norton played perfectly bob gunton doozy want tell norton evil fundamentalist christian actually hate movie precisely vile character revealed also hate movie depiction violent predatory homosexual behavior reason movie rated r wall office hiding safe illgotten content duplicitous account framed plaque word judgment cometh right soon irony word apply men prison ultimately warden perfect take delight promisehere information movie may interest people know adapted novella stephen king entitled rita hayworth shawshank redemption rita hayworth figure story red procures poster andy pin wall cell poster still film gilda starring glenn ford see clip black white film prisoner watch cheering hollering rita hayworth appears havent seen check old movie really gorgeous forerunner marilyn monroe next appears andys wall still seven year itch famous shot skirt blown reveal shapely leg following andys wall way pinups figure prominently plot rachel welsh one million year bc simple effective device pinups show u graphically long andy red pining awayfrank darabonts direction full similar device clearly naturally tell story brook james whitmore get fifty year institutionalized cant cope life outside hang playing red periodic appearance parole board parole summarily rejected watch play endthe cinematography roger deakins excellent editing superb there single dead spot whole movie difference good guy red andy brook etc bad guy warden guard sister etc perhaps starkly drawn perhaps andy bit heroic determined beyond might realistic perhaps redemption bit miraculous beautifully work never mind love itall great story vividly told leave true sense redemption soul chick flick understatement male bonding movie friendship strength character going wrong unfair coming top pure true grit little luckbottom line one best ever made currently rated behind godfather imdb dont miss itnote movie review available book cut chaise lounge cant believe swallowed remote get amazon,Positive
